Date,Average Retail Price: Rice: Traditional Market,Average Retail Price: Rice: Low Quality I: Traditional Market,Average Retail Price: Rice: Low Quality II: Traditional Market,Average Retail Price: Rice: Medium Quality I: Traditional Market,Average Retail Price: Rice: Medium Quality II: Traditional Market,Average Retail Price: Rice: Super Quality I: Traditional Market,Average Retail Price: Rice: Super Quality II: Traditional Market,Average Retail Price: Chicken Meat: Traditional Market,Average Retail Price: Chicken Meat: Purebred Chicken: Traditional Market,Average Retail Price: Beef: Traditional Market,Average Retail Price: Beef: Quality 1: Traditional Market,Average Retail Price: Beef: Quality 2: Traditional Market,Average Retail Price: Egg: Traditional Market,Average Retail Price: Egg: Purebred Chicken Egg: Traditional Market,Average Retail Price: Onion: Traditional Market,Average Retail Price: Onion: Medium Size: Traditional Market,Average Retail Price: Garlic: Traditional Market,Average Retail Price: Garlic: Medium Size: Traditional Market,Average Retail Price: Red Chili Pepper: Traditional Market,Average Retail Price: Red Chili Pepper: Big: Traditional Market,Average Retail Price: Red Chili Pepper: Curly: Traditional Market,Average Retail Price: Cayenne Pepper: Traditional Market,Average Retail Price: Cayenne Pepper: Green: Traditional Market,Average Retail Price: Cayenne Pepper: Red: Traditional Market,Average Retail Price: Cooking Oil: Traditional Market,Average Retail Price: Cooking Oil: Bulky: Traditional Market,Average Retail Price: Cooking Oil: Brand I: Traditional Market,Average Retail Price: Cooking Oil: Brand II: Traditional Market,Average Retail Price: Sugar: Traditional Market,Average Retail Price: Sugar: Premium Quality: Traditional Market,Average Retail Price: Sugar: Local: Traditional Market,Average Retail Price: Rice: Modern Market,Average Retail Price: Rice: Low Quality I: Modern Market,Average Retail Price: Rice: Low Quality II: Modern Market,Average Retail Price: Rice: Medium Quality I: Modern Market,Average Retail Price: Rice: Medium Quality II: Modern Market,Average Retail Price: Rice: Super Quality I: Modern Market,Average Retail Price: Rice: Super Quality II: Modern Market,Average Retail Price: Chicken Meat: Modern Market,Average Retail Price: Chicken Meat: Purebred Chicken: Modern Market,Average Retail Price: Beef: Modern Market,Average Retail Price: Beef: Quality 1: Modern Market,Average Retail Price: Beef: Quality 2: Modern Market,Average Retail Price: Egg: Modern Market,Retail Price: Egg: Purebred Chicken Egg: Modern Market,Retail Price: Onion: Modern Market,Average Retail Price: Onion: Medium Size: Modern Market,Average Retail Price: Garlic: Modern Market,Average Retail Price: Garlic: Medium Size: Modern Market,Average Retail Price: Red Chili Pepper: Modern Market,Average Retail Price: Red Chili Pepper: Big: Modern Market,Average Retail Price: Red Chili Pepper: Curly: Modern Market,Average Retail Price: Cayenne Pepper: Modern Market,Average Retail Price: Cayenne Pepper: Green: Modern Market,Average Retail Price: Cayenne Pepper: Red: Modern Market,Average Retail Price: Cooking Oil: Modern Market,Average Retail Price: Cooking Oil: Brand I: Modern Market,Average Retail Price: Cooking Oil: Brand II: Modern Market,Average Retail Price: Sugar: Modern Market,Average Retail Price: Sugar: Premium Quality: Modern Market,Average Retail Price: Sugar: Local: Modern Market
7/19/2018,11700,10600,10300,11850,11600,13000,12600,39500,39500,115600,119150,110550,27300,27300,29500,29500,28150,28150,39350,39250,39500,51400,44150,58900,13650,11800,14750,14150,13800,15550,12450,14250,12500,12650,13900,13550,16000,14900,44650,44650,147050,147350,154150,29850,29850,44350,44350,33450,33450,55750,61150,54300,70550,66150,78650,16100,16550,15650,13600,14650,12200
7/20/2018,11700,10600,10300,11850,11600,13000,12600,39750,39750,115750,119300,110700,27200,27200,29100,29100,28000,28000,39900,39700,40100,51750,44550,59400,13650,11800,14750,14150,13800,15550,12450,14250,12500,12650,13900,13550,16000,14900,44650,44650,147050,147350,154150,29850,29850,44350,44350,33450,33450,55750,61150,54300,70550,66150,78650,16100,16550,15650,13600,14650,12200
7/23/2018,11700,10600,10300,11800,11600,13000,12600,41250,41250,115700,119200,110700,27100,27100,28600,28600,27650,27650,39450,39050,40000,50600,43700,57850,13650,11750,14750,14150,13800,15550,12450,14250,12500,12650,13850,13450,16000,14900,45350,45350,147350,147700,154150,30000,30000,44450,44450,33350,33350,56450,61850,55250,70300,65850,78150,16100,16550,15650,13600,14650,12200
7/24/2018,11700,10600,10300,11850,11600,13000,12600,41400,41400,115700,119300,110700,27000,27000,28550,28550,27600,27600,39050,38550,39650,49750,42800,57050,13650,11750,14800,14150,13800,15550,12450,14250,12500,12650,13850,13450,16000,14900,45350,45350,147150,147700,153600,30000,30000,44600,44600,33300,33300,56550,61200,56000,70750,65700,79650,16050,16550,15600,13600,14650,12200
7/25/2018,11700,10600,10300,11800,11600,12950,12600,41200,41200,115600,119050,110750,26950,26950,28400,28400,27400,27400,37900,38100,38600,48950,42300,56100,13650,11750,14750,14150,13800,15550,12450,14200,12400,12650,13800,13500,16000,14900,45150,45150,147550,147750,154600,30100,30100,44050,44050,33300,33300,54700,59700,53550,70750,65500,80350,16100,16600,15650,13600,14650,12200
7/26/2018,11700,10600,10300,11800,11600,12950,12600,41350,41350,115650,119150,110650,26900,26900,28250,28250,27300,27300,37350,37600,37850,48000,41750,54900,13650,11750,14750,14150,13800,15550,12450,14200,12400,12650,13800,13500,16000,14900,45150,45150,147550,147750,154600,30100,30100,44050,44050,33300,33300,54700,59700,53550,70750,65500,80350,16100,16600,15650,13600,14650,12200
7/27/2018,11700,10600,10300,11800,11600,12950,12600,40850,40850,115600,119100,110600,26850,26850,28000,28000,27350,27350,36900,37250,37350,47400,41450,54200,13650,11750,14800,14150,13800,15600,12450,14200,12400,12650,13800,13500,16000,14900,45150,45150,147550,147750,154600,30100,30100,44050,44050,33300,33300,54700,59700,53550,70750,65500,80350,16100,16600,15650,13600,14650,12200
7/30/2018,11650,10500,10250,11750,11500,12950,12550,39950,39950,115400,118950,110400,26350,26350,27850,27850,27050,27050,35800,35750,36150,45200,40750,50150,13600,11700,14750,14150,13750,15500,12450,14200,12400,12650,13850,13600,16000,14900,45100,45100,147450,147700,154600,29700,29700,43650,43650,33300,33300,54900,60300,53450,71600,65800,81650,16150,16600,15650,13650,14700,12250
7/31/2018,11700,10600,10300,11800,11600,12950,12600,39750,39750,115450,118900,110500,26450,26450,27700,27700,27000,27000,36600,37200,36500,45100,40400,50400,13650,11700,14800,14150,13800,15600,12450,14200,12400,12650,13850,13600,16000,14900,45100,45100,147450,147700,154600,29700,29700,43500,43500,33300,33300,54350,59400,53000,71100,66300,79500,16100,16550,15650,13650,14750,12200
8/1/2018,11700,10650,10300,11800,11650,12950,12600,39250,39250,115450,118900,110500,26300,26300,27650,27650,27050,27050,36450,37050,36350,44750,40100,50050,13650,11750,14800,14200,13800,15600,12450,14250,12450,12650,13850,13600,16000,14900,45350,45350,146600,147800,152050,29650,29650,44150,44150,33650,33650,55750,59800,55100,72700,68500,81150,16100,16600,15650,13650,14700,12200
8/2/2018,11700,10600,10300,11800,11600,12950,12550,39050,39050,115600,119100,110650,26050,26050,27750,27750,27000,27000,36350,36500,36400,44300,40050,49300,13600,11700,14750,14150,13750,15500,12400,14250,12450,12650,13800,13600,16000,14900,45350,45350,146600,147800,152050,29650,29650,44150,44150,33650,33650,55750,59800,55100,72650,68500,81050,16100,16600,15650,13650,14700,12200
8/3/2018,11700,10600,10300,11800,11600,12950,12550,38850,38850,115600,119100,110700,26000,26000,27800,27800,26950,26950,36800,36950,36750,44150,39950,48950,13600,11700,14750,14150,13750,15500,12400,14250,12450,12650,13800,13600,16000,14900,45350,45350,146600,147800,152050,29650,29650,44150,44150,33650,33650,55750,59800,55100,72650,68500,81050,16100,16600,15650,13650,14700,12200
8/6/2018,11650,10600,10300,11750,11550,12900,12500,38300,38300,115450,119000,110350,25650,25650,27600,27600,27000,27000,37100,37000,37050,42200,38550,46350,13600,11750,14700,14150,13800,15550,12450,14250,12450,12650,13800,13600,16000,14900,45650,45650,146650,147700,152300,29850,29850,43900,43900,33750,33750,55800,60000,55000,72300,68000,80250,16100,16600,15650,13600,14650,12200
8/7/2018,11650,10600,10250,11800,11600,12950,12550,37900,37900,115700,119300,110650,25450,25450,27550,27550,26800,26800,37150,36750,37400,41950,38400,45950,13600,11650,14700,14150,13750,15500,12400,14250,12450,12650,13800,13600,16000,14900,45250,45250,146800,147850,152550,29850,29850,43950,43950,33750,33750,55900,60300,55000,72000,67850,79600,16100,16600,15650,13600,14650,12200
8/8/2018,11650,10550,10250,11700,11550,12900,12500,37750,37750,115450,118900,110450,25400,25400,27450,27450,26550,26550,36900,36350,37350,41800,38450,45550,13600,11650,14750,14150,13750,15500,12400,14250,12500,12650,13850,13600,16000,14900,45650,45650,148350,149500,154550,29650,29650,43900,43900,33900,33900,56500,60800,55550,70900,66450,77850,16000,16350,15650,13550,14650,12200
8/9/2018,11650,10600,10300,11800,11600,12950,12550,37700,37700,115800,119300,110900,25300,25300,27500,27500,26750,26750,37000,36400,37450,41750,38600,45200,13600,11650,14700,14150,13750,15450,12350,14250,12500,12650,13850,13600,16000,14900,45700,45700,148350,149500,154550,29650,29650,43900,43900,33900,33900,56500,60800,55550,70850,66450,77750,16000,16350,15650,13550,14650,12200
8/10/2018,11650,10600,10250,11750,11500,12900,12550,37250,37250,115950,119500,110750,25000,25000,27100,27100,26400,26400,36150,36050,36550,41350,38250,44750,13500,11550,14650,14100,13650,15400,12300,14250,12500,12650,13850,13600,16000,14900,45700,45700,148350,149500,154550,29650,29650,43850,43850,33900,33900,56500,60800,55550,70500,66350,76950,16000,16350,15650,13550,14650,12200
8/13/2018,11650,10550,10250,11750,11600,12900,12550,37100,37100,115900,119450,110850,24950,24950,27150,27150,26700,26700,35800,35450,36150,41500,38200,45050,13600,11700,14700,14150,13750,15450,12400,14200,12450,12650,13800,13550,15950,14900,45700,45700,148350,149500,154550,29650,29650,43750,43750,33900,33900,56150,60450,55000,70300,66250,76400,16000,16350,15650,13600,14650,12200
8/14/2018,11600,10500,10200,11700,11550,12850,12500,37000,37000,115600,119000,110650,25050,25050,26950,26950,26450,26450,35700,35350,35950,41450,38250,44750,13600,11650,14750,14150,13750,15500,12350,14200,12400,12650,13800,13550,15900,14900,45750,45750,148350,149500,154550,29750,29750,43700,43700,33900,33900,56050,60400,54850,70300,66300,76250,16000,16350,15650,13600,14650,12200
8/15/2018,11600,10500,10200,11700,11550,12850,12500,36800,36800,115600,119000,110700,25050,25050,27050,27050,26500,26500,35450,35300,35650,41050,37900,44250,13600,11650,14750,14150,13750,15500,12350,14150,12400,12650,13800,13550,15900,14850,45600,45600,149300,150650,154850,29850,29850,43650,43650,33500,33500,55800,59950,54500,69300,65600,75500,16100,16550,15700,13550,14550,12200
8/16/2018,11650,10600,10250,11750,11600,12950,12550,36600,36600,115950,119550,110850,25000,25000,26900,26900,26550,26550,34850,34600,35300,40850,37750,44000,13550,11700,14700,14100,13700,15350,12400,14150,12400,12650,13800,13550,15900,14850,45600,45600,149300,150650,154850,29850,29850,43650,43650,33500,33500,55800,59950,54500,69300,65600,75500,16100,16550,15700,13550,14550,12200
8/20/2018,11650,10600,10250,11750,11600,12900,12550,37550,37550,116800,120400,111900,25150,25150,27200,27200,26800,26800,37600,38150,37400,41700,39050,44250,13600,11650,14700,14150,13700,15450,12350,14200,12450,12650,13800,13550,15950,14850,45600,45600,149650,151000,154850,29850,29850,43750,43750,33500,33500,56400,60950,54900,69300,65950,75300,16100,16550,15700,13550,14550,12200
8/21/2018,11650,10600,10250,11750,11600,12950,12550,38400,38400,119250,122750,113550,25150,25150,27350,27350,27050,27050,38900,39600,38450,42550,40300,44600,13600,11650,14700,14150,13700,15400,12350,14150,12350,12650,13750,13550,15850,14850,45550,45550,150100,151350,155600,29900,29900,43850,43850,33550,33550,56450,60650,55150,69500,65850,75700,16100,16550,15700,13550,14550,12250
8/23/2018,11600,10600,10300,11700,11550,12900,12500,38050,38050,117450,121000,112400,25200,25200,26900,26900,27050,27050,38200,39200,37450,42150,39850,44100,13600,11700,14700,14100,13750,15450,12350,14150,12350,12650,13750,13550,15850,14850,45550,45550,150100,151350,155600,29900,29900,43850,43850,33550,33550,56400,60550,55150,69500,65850,75800,16100,16550,15700,13550,14550,12250
8/24/2018,11650,10550,10350,11700,11500,12900,12550,37500,37500,117300,121000,112250,24800,24800,26600,26600,26550,26550,37200,38800,36750,41850,40050,43500,13500,11550,14650,14100,13600,15300,12300,14150,12350,12650,13750,13550,15850,14850,45550,45550,150100,151350,155600,29900,29900,43850,43850,33550,33550,56400,60550,55150,69500,65850,75800,16100,16550,15700,13550,14550,12250
8/27/2018,11700,10600,10300,11800,11600,12950,12550,37100,37100,116450,120000,111200,24900,24900,26500,26500,26650,26650,36300,37450,35500,39950,38800,40750,13550,11650,14650,14150,13700,15400,12300,14150,12350,12650,13750,13550,15850,14900,45500,45500,149750,151000,155600,29900,29900,43850,43850,33550,33550,55550,59700,54050,69250,65600,75200,16100,16550,15750,13550,14550,12250
8/28/2018,11650,10600,10300,11750,11600,12950,12550,37000,37000,116300,119900,110900,24900,24900,26350,26350,26700,26700,35400,36850,34550,39400,38550,39950,13550,11600,14700,14150,13700,15400,12300,14150,12400,12650,13800,13550,15850,14900,45400,45400,149750,151000,155650,29800,29800,43750,43750,33550,33550,55550,59650,54150,69100,65600,75150,16100,16550,15700,13550,14550,12200
8/29/2018,11700,10600,10300,11750,11650,12900,12550,36850,36850,116050,119650,110800,24950,24950,26150,26150,26550,26550,35050,36250,34450,39100,38350,39600,13600,11600,14750,14200,13700,15450,12300,14200,12400,12700,13850,13550,15900,14900,43000,43000,150500,151050,156750,29650,29650,42100,42100,34450,34450,54800,59450,52800,68950,65700,74450,16100,16500,15750,13550,14500,12200
8/30/2018,11650,10650,10300,11750,11600,12900,12550,36650,36650,115800,119400,110850,24900,24900,26050,26050,26600,26600,33650,34800,33200,38500,37850,39050,13550,11600,14700,14150,13700,15400,12300,14200,12400,12700,13850,13550,15900,14900,43000,43000,150500,151050,156750,29700,29700,42100,42100,34450,34450,54800,59450,52800,68900,65700,74350,16100,16500,15750,13550,14500,12200
8/31/2018,11650,10650,10300,11750,11600,12900,12550,36450,36450,115750,119350,110800,24950,24950,25850,25850,26500,26500,33250,34200,32800,37800,37150,38250,13550,11550,14700,14150,13650,15400,12300,14200,12400,12700,13850,13550,15900,14900,43000,43000,150500,151050,156750,29700,29700,42100,42100,34450,34450,54800,59450,52800,68900,65700,74350,16100,16500,15750,13550,14500,12200
9/3/2018,11700,10650,10300,11800,11650,12950,12600,35800,35800,115900,119600,110800,24700,24700,25300,25300,26200,26200,31250,31350,31350,35950,35300,36150,13450,11600,14600,14000,13650,15300,12300,14200,12400,12700,13850,13550,15900,14900,43000,43000,150500,151050,156750,29700,29700,42100,42100,34450,34450,55000,59400,53300,68900,65700,74350,16100,16500,15750,13550,14500,12200
9/4/2018,11650,10600,10250,11700,11550,12900,12500,35400,35400,115850,119500,110800,24650,24650,24950,24950,25950,25950,30700,31200,30400,35750,35400,35900,13450,11600,14600,14050,13600,15300,12250,14200,12400,12700,13850,13550,15900,14850,42950,42950,150600,151150,157000,29650,29650,41650,41650,34400,34400,54850,59100,53250,68050,65550,71750,16150,16500,15800,13550,14500,12200
9/5/2018,11700,10650,10300,11800,11650,12950,12550,35450,35450,115700,119300,110700,24650,24650,25150,25150,26200,26200,31050,31650,30750,35800,35600,35750,13550,11600,14650,14100,13650,15350,12300,14150,12400,12650,13800,13550,15850,14850,43100,43100,151150,151850,157500,29550,29550,40500,40500,34200,34200,54500,58100,53050,66200,64300,69000,16050,16400,15750,13500,14450,12200
9/6/2018,11650,10650,10300,11750,11600,12900,12500,35250,35250,115500,119200,110400,24600,24600,25150,25150,26350,26350,30850,31250,30250,35450,35300,35200,13550,11650,14650,14100,13650,15400,12300,14150,12400,12650,13800,13550,15850,14850,43100,43100,151150,151850,157500,29550,29550,40500,40500,34200,34200,54500,58100,53050,66200,64300,69000,16050,16400,15750,13500,14450,12200
9/7/2018,11700,10650,10300,11800,11650,12950,12550,35000,35000,115700,119350,110800,24500,24500,24950,24950,26050,26050,30950,31400,30600,35700,35600,35400,13500,11550,14650,14100,13600,15350,12250,14150,12400,12650,13800,13550,15850,14850,43100,43100,151150,151850,157500,29450,29450,40500,40500,34200,34200,54500,58100,53050,66200,64300,69000,16050,16400,15750,13500,14450,12200
9/10/2018,11700,10650,10300,11750,11550,12950,12600,34650,34650,115450,119150,110550,24350,24350,24850,24850,25950,25950,30500,30950,30050,35150,35400,34350,13500,11550,14650,14100,13600,15350,12250,14200,12400,12650,13850,13600,15850,14850,43100,43100,151150,151850,157500,29350,29350,40400,40400,33950,33950,54650,58150,53350,66150,64400,68700,16050,16400,15700,13500,14450,12200
9/12/2018,11700,10650,10300,11750,11600,12950,12600,34400,34400,115450,119100,110550,24350,24350,24500,24500,25750,25750,30600,31250,29950,35050,35200,34000,13500,11550,14650,14100,13600,15300,12200,14150,12400,12650,13800,13500,15850,14800,42350,42350,150750,151550,156750,28950,28950,40200,40200,34500,34500,54000,57550,52500,65200,63250,67500,16100,16350,15850,13500,14450,12200
9/13/2018,11700,10650,10300,11750,11650,12950,12600,34200,34200,115500,119150,110500,24300,24300,24350,24350,25700,25700,30550,30900,30050,34850,35100,33850,13500,11550,14650,14100,13600,15300,12250,14150,12400,12650,13800,13500,15850,14800,42350,42350,150750,151550,156750,28950,28950,40200,40200,34500,34500,53900,57400,52350,65100,63100,67500,16100,16350,15850,13500,14450,12200
9/14/2018,11700,10700,10300,11750,11600,12950,12600,33850,33850,115100,118750,110100,24050,24050,24300,24300,25550,25550,30200,30300,30000,34550,34850,33400,13500,11550,14650,14150,13550,15250,12200,14150,12400,12650,13800,13500,15850,14800,42350,42350,150750,151550,156750,28950,28950,40200,40200,34500,34500,53900,57400,52350,65100,63100,67500,16100,16350,15850,13500,14450,12200
9/17/2018,11700,10650,10300,11750,11650,12950,12600,33900,33900,115600,119250,110500,23950,23950,23750,23750,25400,25400,30300,30250,29750,34500,34750,33450,13500,11550,14650,14100,13550,15250,12200,14150,12400,12650,13800,13500,15850,14800,42400,42400,150750,151550,156750,28850,28850,40250,40250,34500,34500,53200,57400,51550,63100,61850,66150,16100,16350,15850,13500,14450,12200
9/18/2018,11700,10650,10300,11750,11650,12950,12600,33750,33750,115450,119300,110100,23900,23900,23600,23600,25400,25400,30200,30250,29550,34650,34850,33750,13500,11550,14650,14100,13550,15250,12200,14150,12350,12650,13800,13500,15850,14850,42500,42500,151050,151900,157200,28750,28750,39950,39950,34100,34100,53600,57950,51900,62500,61600,64800,16050,16300,15800,13500,14450,12200
9/19/2018,11700,10650,10300,11750,11650,12950,12600,33750,33750,115700,119300,110350,23750,23750,23400,23400,25350,25350,29950,30200,29100,34550,35000,33200,13500,11550,14650,14100,13550,15300,12150,14150,12300,12650,13800,13500,15850,14850,41950,41950,150850,151600,157450,28650,28650,39550,39550,33800,33800,54100,58450,51650,62600,60550,67150,16100,16350,15800,13500,14450,12200
9/20/2018,11700,10650,10300,11750,11600,13000,12600,33550,33550,115600,119200,110500,23650,23650,23250,23250,25100,25100,29700,29750,28950,34700,35100,33700,13500,11550,14650,14100,13500,15250,12150,14150,12300,12650,13800,13500,15850,14850,41950,41950,150850,151600,157450,28650,28650,39550,39550,33800,33800,54100,58450,51650,62600,60550,67150,16100,16350,15800,13500,14450,12200
9/21/2018,11700,10650,10200,11750,11600,12950,12600,33550,33550,115600,119250,110550,23650,23650,23050,23050,25200,25200,29650,29600,28950,34800,35000,33900,13500,11550,14650,14100,13550,15250,12150,14150,12300,12650,13800,13500,15850,14850,41950,41950,150850,151600,157450,28650,28650,39550,39550,33800,33800,54100,58450,51650,62600,60550,67150,16100,16350,15800,13500,14450,12200
9/24/2018,11700,10650,10250,11750,11550,13000,12600,33200,33200,115750,119400,110650,23450,23450,22800,22800,25000,25000,29950,29950,29200,35800,35550,35450,13500,11550,14650,14050,13500,15200,12150,14200,12450,12650,13850,13350,15900,14800,41050,41050,150850,151600,157450,28500,28500,38700,38700,33200,33200,53600,57250,51250,62250,60250,66300,16000,16250,15750,13450,14450,12100
9/25/2018,11700,10650,10250,11750,11500,13000,12600,33050,33050,115700,119350,110650,23300,23300,22600,22600,24900,24900,30000,29750,29450,35700,35600,35100,13500,11500,14650,14100,13500,15250,12100,14150,12400,12650,13750,13350,15850,14750,41250,41250,150550,151350,157050,28500,28500,39300,39300,33150,33150,53700,57700,51100,62750,60300,67800,16000,16250,15800,13450,14450,12100
9/26/2018,11750,10650,10300,11800,11600,13050,12650,33200,33200,115850,119600,110650,23350,23350,22450,22450,24800,24800,30400,30150,29800,36050,36150,35200,13450,11500,14600,14100,13450,15200,12100,14150,12400,12650,13800,13300,15850,14750,40700,40700,148600,150650,152550,28200,28200,39050,39050,33050,33050,53300,57200,50700,62650,60500,67500,16000,16250,15800,13450,14450,12100
9/27/2018,11700,10650,10250,11750,11550,13000,12600,33000,33000,115700,119350,110600,23200,23200,22300,22300,24650,24650,30100,29800,29550,35600,35600,34650,13500,11500,14650,14050,13500,15150,12150,14150,12400,12650,13800,13300,15850,14750,40700,40700,148600,150650,152550,28200,28200,39050,39050,33050,33050,53300,57200,50700,62650,60500,67500,16000,16250,15800,13450,14450,12100
9/28/2018,11700,10650,10250,11750,11550,13000,12600,33050,33050,115750,119350,110650,23150,23150,22200,22200,24500,24500,30300,29950,29800,35500,35500,34600,13450,11500,14600,14050,13500,15200,12100,14150,12400,12650,13800,13300,15850,14750,40700,40700,148600,150650,152550,28200,28200,39050,39050,33050,33050,53300,57200,50700,62650,60500,67500,16000,16250,15800,13450,14450,12100
10/1/2018,11700,10650,10250,11750,11550,13050,12650,33600,33600,115900,119600,110650,23100,23100,21900,21900,24400,24400,30850,30550,30600,35950,35400,35800,13450,11450,14600,14050,13500,15250,12100,14150,12400,12650,13800,13350,15850,14800,40550,40550,148700,150750,152700,28250,28250,38900,38900,33050,33050,53600,57900,50700,63350,61400,68450,16000,16250,15750,13450,14450,12100
10/2/2018,11700,10650,10250,11750,11550,13050,12650,33650,33650,115850,119600,110600,23200,23200,21850,21850,24350,24350,31000,30750,30650,36250,35500,36250,13450,11450,14600,14050,13500,15250,12100,14150,12450,12650,13800,13300,15850,14700,40400,40400,148400,150350,152400,28250,28250,38600,38600,33050,33050,52900,57450,49600,63350,61450,68400,16050,16350,15800,13450,14450,12050
10/3/2018,11700,10650,10250,11800,11600,13050,12650,33750,33750,115800,119650,110500,23250,23250,21700,21700,24250,24250,31250,30850,30900,36250,35500,36350,13450,11450,14600,14050,13450,15250,12100,14150,12500,12650,13800,13300,15850,14650,39850,39850,148650,150500,152400,28150,28150,38450,38450,32750,32750,52950,57550,50350,63400,61800,68200,16050,16350,15800,13400,14450,12050
10/4/2018,11750,10650,10300,11800,11600,13050,12650,33850,33850,115900,119700,110650,23300,23300,21550,21550,24100,24100,31300,30700,31000,36150,35150,36150,13450,11450,14600,14050,13450,15250,12100,14150,12500,12650,13800,13300,15850,14650,39850,39850,148650,150500,152400,28150,28150,38450,38450,32750,32750,52950,57550,50350,63400,61800,68200,16050,16350,15800,13400,14450,12050
10/5/2018,11700,10650,10250,11800,11550,13000,12650,34000,34000,116000,119750,110700,23300,23300,21350,21350,23900,23900,31100,30500,30700,36050,35200,35900,13400,11400,14550,14000,13450,15250,12100,14150,12500,12650,13800,13300,15850,14650,39850,39850,148650,150500,152400,28150,28150,38450,38450,32750,32750,52950,57550,50350,63400,61800,68200,16050,16350,15800,13400,14450,12050
10/8/2018,11700,10650,10250,11750,11550,13000,12650,34050,34050,115700,119350,110550,23300,23300,21500,21500,24100,24100,31850,31400,31100,36750,35750,36850,13450,11450,14600,14000,13500,15250,12100,14150,12500,12650,13800,13300,15850,14650,39850,39850,148650,150500,152400,28150,28150,38450,38450,32750,32750,52850,57350,50350,63150,60950,68100,16050,16350,15800,13400,14450,12050
10/9/2018,11700,10650,10250,11750,11550,13000,12600,34250,34250,115800,119450,110700,23250,23250,21450,21450,24050,24050,32500,31950,31750,36450,35150,36750,13450,11500,14600,14050,13500,15200,12100,14150,12500,12650,13800,13300,15850,14700,40000,40000,148700,150700,152400,28000,28000,38400,38400,32700,32700,53000,57850,50150,63150,60850,68200,16050,16350,15750,13400,14450,12050
10/10/2018,11700,10700,10200,11750,11550,13000,12600,34400,34400,115750,119550,110400,23300,23300,21650,21650,24150,24150,32600,32600,31550,36450,35550,36200,13500,11450,14650,14100,13500,15250,12100,14250,12450,12650,13800,13300,16400,14900,39000,39000,145750,148950,146400,27950,27950,37450,37450,32000,32000,52350,57400,49500,63300,61000,68400,16050,16400,15750,13400,14450,12000
10/11/2018,11700,10650,10250,11800,11550,13000,12650,34450,34450,116000,119700,110900,23350,23350,21650,21650,24100,24100,32600,32500,31600,36150,35050,36150,13450,11450,14600,14050,13450,15200,12100,14350,12450,12650,13850,13400,16650,15050,38350,38350,144350,146750,146000,27800,27800,36800,36800,31500,31500,52450,57700,49550,61800,59400,66350,16000,16350,15700,13500,14550,12050
10/12/2018,11700,10700,10300,11800,11550,13000,12650,34450,34450,116000,119700,110850,23300,23300,21700,21700,24050,24050,32650,32100,32050,36100,35250,36100,13450,11450,14600,14050,13450,15200,12100,14350,12450,12650,13850,13400,16650,15050,38350,38350,144350,146750,146000,27800,27800,36800,36800,31500,31500,52450,57750,49550,61800,59400,66350,16000,16350,15700,13500,14550,12050
10/15/2018,11750,10700,10300,11750,11600,13000,12650,34700,34700,115500,119400,110150,23350,23350,22300,22300,24400,24400,33400,33150,32400,36750,35700,37000,13450,11500,14600,14050,13450,15200,12100,14350,12450,12650,13850,13400,16650,15050,38400,38400,144550,147000,146000,27800,27800,36450,36450,31300,31300,52400,57750,49450,61900,60000,66350,16000,16350,15700,13500,14550,12050
10/16/2018,11750,10700,10300,11800,11600,13000,12650,34650,34650,115700,119400,110500,23250,23250,22500,22500,24450,24450,33850,33400,32950,37050,36100,37100,13450,11500,14600,14050,13450,15200,12050,14350,12450,12650,13850,13350,16650,15050,38350,38350,144550,147000,146000,27800,27800,36300,36300,31350,31350,52350,57400,49600,61900,60000,66300,16000,16350,15650,13500,14550,12050
10/17/2018,11700,10700,10300,11750,11550,13000,12650,34350,34350,115950,119850,110400,22950,22950,22500,22500,24450,24450,33300,32350,33150,36350,35600,36150,13350,11400,14500,13950,13300,15000,12050,14150,12450,12550,13800,13400,15850,14800,38750,38750,147250,148600,151400,27700,27700,36750,36750,31150,31150,53000,57600,50700,61550,59850,65600,16000,16450,15600,13500,14550,12050
10/18/2018,11750,10700,10300,11750,11650,13000,12650,34550,34550,115550,119200,110300,23350,23350,22600,22600,24750,24750,33900,33300,33200,36650,35950,36350,13450,11500,14650,14050,13500,15250,12100,14150,12450,12550,13800,13400,15850,14800,38750,38750,147250,148600,151400,27700,27700,36750,36750,31150,31150,53000,57600,50700,61300,59850,64700,16000,16450,15600,13500,14550,12050
10/19/2018,11750,10700,10300,11750,11600,13000,12650,34350,34350,115700,119400,110500,23250,23250,22850,22850,24850,24850,34050,33550,33300,36750,35950,36600,13450,11450,14600,14050,13450,15200,12050,14150,12450,12550,13800,13400,15850,14800,38750,38750,147250,148600,151400,27700,27700,36750,36750,31150,31150,53000,57600,50700,61300,59850,64700,16000,16450,15600,13500,14550,12050
10/22/2018,11750,10700,10300,11750,11600,13050,12650,34200,34200,115700,119400,110500,23200,23200,23000,23000,25000,25000,35300,34400,34950,36950,35750,37100,13450,11450,14600,14050,13400,15200,12050,14150,12450,12550,13800,13400,15850,14800,38550,38550,147150,148350,151400,27700,27700,37050,37050,31250,31250,53300,57750,51250,60900,58950,64700,16000,16450,15600,13450,14550,12050
